ID;Pred;details
ID-280;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-281;negative;{'neg': 0.443, 'neu': 0.417, 'pos': 0.141, 'compound': -0.7003}
ID-282;negative;{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.3182}
ID-283;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-284;negative;{'neg': 0.506, 'neu': 0.494, 'pos': 0.0, 'compound': -0.6249}
ID-285;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-286;negative;{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}
ID-287;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-288;negative;{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.3818}
ID-289;negative;{'neg': 0.225, 'neu': 0.775, 'pos': 0.0, 'compound': -0.4939}
ID-290;negative;{'neg': 0.417, 'neu': 0.583, 'pos': 0.0, 'compound': -0.5106}
ID-291;neutral;{'neg': 0.235, 'neu': 0.523, 'pos': 0.242, 'compound': 0.0258}
ID-292;negative;{'neg': 0.346, 'neu': 0.654, 'pos': 0.0, 'compound': -0.5719}
ID-293;negative;{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.5423}
ID-294;negative;{'neg': 0.226, 'neu': 0.774, 'pos': 0.0, 'compound': -0.5423}
ID-295;negative;{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.3818}
ID-296;negative;{'neg': 0.516, 'neu': 0.484, 'pos': 0.0, 'compound': -0.7506}
ID-297;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-298;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-299;neutral;{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.1779}
ID-300;positive;{'neg': 0.0, 'neu': 0.682, 'pos': 0.318, 'compound': 0.4215}
ID-301;positive;{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.4019}
ID-302;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-303;negative;{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.5423}
ID-304;neutral;{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.2023}
ID-305;negative;{'neg': 0.451, 'neu': 0.549, 'pos': 0.0, 'compound': -0.8481}
ID-306;negative;{'neg': 0.344, 'neu': 0.656, 'pos': 0.0, 'compound': -0.6369}
ID-307;negative;{'neg': 0.47, 'neu': 0.53, 'pos': 0.0, 'compound': -0.7351}
ID-308;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-309;negative;{'neg': 0.709, 'neu': 0.291, 'pos': 0.0, 'compound': -0.743}
ID-310;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-311;neutral;{'neg': 0.191, 'neu': 0.603, 'pos': 0.206, 'compound': 0.0772}
ID-312;negative;{'neg': 0.494, 'neu': 0.506, 'pos': 0.0, 'compound': -0.8316}
ID-313;negative;{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}
ID-314;negative;{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.3818}
ID-315;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ID-316;negative;{'neg': 0.402, 'neu': 0.598, 'pos': 0.0, 'compound': -0.6908}
ID-317;negative;{'neg': 0.589, 'neu': 0.411, 'pos': 0.0, 'compound': -0.8625}
ID-318;neutral;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
