ID	Gold	Pred	Text
ID-669	democracynow	neutral	Ask for Jane: Meet the Underground Feminist Group That Provided Abortions Before Roe v. Wade
ID-670	dailykos	negative	Asylum officers ask court to block Trump program that's 'contrary to the moral fabric of our Nation'
ID-671	Twitchy	positive	BAHAHA! Eric Swalwell talking smack about Barr and how they will ‘hold Trump accountable’ is even FUNNIER now (watch)
ID-672	dailymail	negative	Baltimore struggling after ransomware cyberhack cripple Baltimore's government computer network
ID-673	ThinkProgress	negative	Barr confirms key Mueller finding: Trump directed a criminal scheme to violate campaign-finance law
ID-674	Alternet	negative	Barr has the US on ‘the road to tyranny’: Hillary Clinton calls out Trump’s AG over his shameful Senate testimony
ID-675	CNN	neutral	Barr makes no apology for handling of special counsel report
ID-676	TheFederalist	negative	"""Because Mueller Found No Collusion"
ID-677	Jacobin	neutral	"""Before AOC"
ID-678	ThinkProgress	neutral	Ben Carson admits that black Americans are struggling in Trump’s economy
ID-679	Jacobin	neutral	Bernie Has Opened the Door for Democratic Socialism
ID-680	HotAir	neutral	Beto 2.0: Campaign hires Obama MVP for delegate hunt
ID-681	NewsBusters	neutral	Bette Midler: Sarah Huckabee Sanders Is ‘Milkmaid’ Who ‘Slung S**t’
ID-682	FreeBacon	neutral	Bloomberg Op-ed Suggests Iran Tanker Attack Was a False Flag
ID-683	ForeignPolicy	neutral	Books in Brief: Recent Releases on Richard Holbrooke and America’s Hidden Empire
ID-684	Intercept	neutral	Border Patrol Chief Carla Provost Was a Member of Secret Facebook Group
ID-685	TheWeek	neutral	Boris Johnson ‘will get UK match fit for no deal’
ID-686	FT	neutral	"""Boris Johnson"
ID-687	NewsBusters	negative	Brian Williams Interrupts Barr Hearing to Call Lindsey Graham a Liar
ID-688	BuzzFeed	negative	British Actress Emma Thompson: Abortion Laws Dragging U.S. Back to the 'Dark Ages'
ID-689	BuzzFeed	negative	Brooks: 'A Lot of People Got Out Ahead of the Evidence' on Collusion - Trump Isn't Exonerated
ID-690	NewsBusters	negative	"""Burying Facts: WashPost Skipped Immigration Status In Muslim Girl's Brutal Rape"
ID-691	WT	neutral	Canadian commentators criticize U.S. team for celebrating World Cup rout
ID-692	Truthout	neutral	Canvassing the 55 Percent of Rural Voters Wanting Medicare for All
ID-693	Breitbart	positive	Charlamagne tha God: 'I Definitely Don't Buy' Elizabeth Warren's Excuse for Ancestry Claim
ID-694	dailywire	neutral	Chelsea Clinton Received $300k As An IAC Board Member - For Attending Just SIX Meetings
ID-695	dailycaller	positive	Chinese Soldiers Think It’s Impressive And Intimidating To Jump Into Some Mud
ID-696	MotherJones	neutral	Commander-in-Chief Picks Flatterer-in-Chief for Fed Board
ID-697	dailybeast	neutral	"""Cops: NYPD Officer Ordered Hit on Estranged Husband"
ID-698	dailymail	negative	Crooked mechanic and eBay seller are jailed for repairing wrecked top-of-the-range BMWS
ID-699	RollCall	negative	Cummings says Trump administration’s use of private email violates records act
ID-700	Breitbart	neutral	DHS Builds 42 Miles of Mostly Replacement Border Wall Since Trump's Inauguration
ID-701	FoxNews	negative	Dan Gainor: Meghan McCain fights back – Kudos to conservative who burst ultra-liberal Seth Meyers’ bubble
ID-702	Slate	positive	Dear Prudence Podcast: Help! My Friend Treats Me Like an Unpaid Therapist.
ID-703	NationalReview	negative	Democrats Hit Trump’s Trans-Troop Ban as It Takes Effect
ID-704	NationalReview	positive	Democrats Rip McConnell for Promising to Fill Potential SCOTUS Vacancy in 2020
ID-705	RealClearPolitics	neutral	Democrats Want to Change the Rules of the Game
ID-706	RealClearPolitics	neutral	"""Despite Risks"
ID-707	TheGatewayPundit	positive	Developing: Financial Documents Show Elijah Cummings’s Wife Used Charity to Enrich Her For Profit Company
ID-708	NBC	negative	Doctors find differences in brains of U.S. diplomats who alleged mystery attacks in Cuba
ID-709	RealClearPolitics	negative	Donald Trump's War on Worker Rights
ID-710	FoxNews	neutral	Douglas MacKinnon: Iran decision is Trump's most 'presidential' moment (so far)
ID-711	BussinesInsider	neutral	Drivers Should Compare Car Insurance Quotes Before Renewing The Contract
ID-712	FT	neutral	Electric carmakers gear up for market charge
ID-713	WP	positive	Escape reality with these delightful old-time thrillers. You’ll forget 2020 is almost here.
ID-714	dailybeast	negative	Facebook Co-Founder Calls Its Cryptocurrency Plans ‘Frightening’
ID-715	NPR	negative	FedEx Sues U.S. Commerce Department Over Export Controls In Huawei Dispute
ID-716	TheWeek	negative	Feltham YOI: 13 prison guards hospitalised after teenage inmates riot
ID-717	Twitchy	neutral	Fierce critic of bare feet on airplanes posts (and then deletes) topless photo to promote USA Today op-ed that calls Trump a ‘laughingstock’ [Screenshot]
ID-718	democracynow	negative	Filipina Journalist Maria Ressa Helped Expose Duterte's Deadly Drug War; He's Now Trying to Jail Her
ID-719	ThinkProgress	negative	Flint’s ‘food apartheid’ is impeding recovery from water crisis
ID-720	NYP	neutral	Florida trooper had sex with 14-year-old girl in the back of his car: authorities
ID-721	InfoWars	negative	Fmr. Notre Dame Chief Architect: Ancient Oak Doesn’t Burn Like That
ID-722	dailycaller	negative	Former Canadian AG Taped Conversation Of Trudeau Official Pressuring Her To Interfere In Legal Case
ID-723	Jacobin	neutral	"""Freezing Workers of the World"
ID-724	RollCall	neutral	GOP Rep. writes 407-word Fox News op-ed defending McCain — doesn’t mention Trump once
ID-725	Breitbart	negative	"""Gabbard on Dem Debate: Lack of Minutes"
ID-726	BuzzFeed	positive	Garlic Festival Gunman Entered Through Fence to Avoid Security Check
ID-727	OAN	neutral	Golf: Bethpage Black turns into beast in windy final round at PGA
ID-728	HotAir	neutral	Harris joins Warren: Let’s impeach Trump rather than run against him
ID-729	dailymail	negative	Help to Buy scheme was abused by thousands of people who did not need a subsidy to get on the ladder
ID-730	Vice	neutral	Here’s What You Need to Know About Indonesia’s Massive Elections
ID-731	fiscaltimes	positive	High-Income Households in High-Tax States Were Big Winners in GOP Tax Overhaul
ID-732	Time	neutral	"""Homeless Man Sentenced to 5 Years Probation in $400"
ID-733	HuffPost	negative	Hong Kong Protesters Storm Legislature On Anniversary Of City's Return To Chinese Rule
ID-734	TPM	neutral	House Dems Sue Trump Admin Over Its Border Wall Plan
ID-735	WT	neutral	House panel approves bill to sanction foreigners for election interference
ID-736	Truthout	negative	Hundreds of Jewish Activists Surround ICE Office to Protest Detention Centers
ID-737	NewsBusters	negative	Hypocritical New York Times Mocks Trump Summit of ‘Right-Wing Social Media Trolls’
ID-738	Truthout	neutral	Impeaching Trump Shouldn’t Mean Abandoning Other Key Battles
ID-739	NYT	neutral	"""In Sudan"
ID-740	TNR	negative	India’s Futile War on Open Defecation
ID-741	PoliticoPulse	positive	"""Intelligence scholar sues Cambridge academic"
ID-742	Vice	negative	Introducing the Anxiety Hour: a Mental Health Podcast from VICE
ID-743	TheWeek	neutral	Investing in wine: the end of the Burgundy bubble
ID-744	HuffPost	positive	Iran Says It Will Break Uranium Stockpile Limit Agreed On In Nuclear Deal
ID-745	ForeignPolicy	neutral	Iran Undeterred as U.S. Calls for Coalition to Police Key Waterways
ID-746	TheFederalist	neutral	Iran’s Attempts To Start Talks Reveal Trump’s Strategy Is Working
ID-747	ABC	negative	Israel faces possible second election amid coalition crisis
ID-748	NBC	negative	"""Israel lurches toward unprecedented political crisis"
ID-749	ThinkProgress	positive	It sure looks like Trump is subverting the succession process to put a loyalist in charge of intel
ID-750	FoxNews	neutral	Italy explains refusal to recognize Venezuela's Guaido
ID-751	MotherJones	negative	It’s Not Just Bieber: A Totally Non-Comprehensive But Important List of Places Instagram Influencers Have Ruined
ID-752	ForeignPolicy	neutral	It’s Trump’s Fourth of July Now
ID-753	Vox	neutral	James Holzhauer’s Jeopardy winning streak has come to an end
ID-754	Reason	neutral	"""Joe Biden Courts Blue Collar Voters"
ID-755	Jacobin	neutral	Joe Biden Is Not a Blue-Collar Candidate
ID-756	Slate	positive	Joe Biden Just Offered a Peek at His Health Care Plan. We Have a Bunch of Questions.
ID-757	Vox	negative	Joe Biden turns inappropriate touching accusations into a punchline
ID-758	BuzzFeed	neutral	Joe Biden: Build 'James Bond-Style' Guns That Don't Fire Without DNA Match
ID-759	TheGatewayPundit	neutral	John Solomon: Top Prosecutor Has Proof Ukraine Colluded with Hillary Campaign in 2016 Election
ID-760	dailycaller	negative	Judge Agrees Black Driver Involved In Fatal Hit-And-Run Feared Police ‘Racism’
ID-761	TheFederalist	neutral	Judge Orders Ethics Training For Michael Flynn’s Former Lawyers
ID-762	fiscaltimes	positive	Judge Upholds Trump Rule Expanding Non-Obamacare Plans
ID-763	RollCall	neutral	Judiciary Committee focuses on Mueller report with pundit panel
ID-764	HotAir	neutral	"""Julian Castro says Kellyanne should go"
ID-765	TheBlaze	negative	Kanye West bashes liberals for bullying Trump supporters in Netflix interview with David Letterman
ID-766	Alternet	negative	Kellyanne Conway rips Nikki Haley for Trump criticism just as husband George urges the former UN ambassador to join ‘the right side of history’
ID-767	dailywire	neutral	Kids In Philadelphia Muslim Society: ‘We Will Chop Off Their Heads’ For Allah
ID-768	LATimes	neutral	L.A. County health officials warn of measles exposure at Westside shops
ID-769	Intercept	negative	Lawmaker Skipping Time Off for Cancer Recovery to Block Anti-Abortion Bill: “I Wouldn’t Be Able to Live With Myself”
ID-770	NewsBusters	negative	"""Left Attacks Economist Art Laffer as 'Kook"
ID-771	ThinkProgress	negative	Letter details ‘severe’ sexual harassment at AccuWeather under Trump’s pick to lead NOAA
ID-772	NationalReview	negative	Liberals Begin to Revolt against ‘Rock Stupid’ Homelessness Policies
ID-773	Truthout	negative	Lies About Iran Killing US Troops in Iraq Are a Ploy to Justify War
ID-774	RollCall	neutral	"""Live in the ‘here and now"
ID-775	NPR	positive	Maria Butina Says She Was 'Building Peace.' That's Not How The Feds See It
ID-776	BuzzFeed	neutral	Mark Meadows Erupts over Kellyanne Subpoena
ID-777	FreeBacon	neutral	McCarthy Slams Dems for Passing Minimum Wage Bill
ID-778	Alternet	neutral	McConnell stumped after reporter asks if it’s OK to tell his immigrant wife to ‘go back to your country’
ID-779	NewsBusters	negative	Media Slime Novelist Nicholas Sparks As Racist Homophobe
ID-780	Truthout	neutral	Meet the Underground Feminist Group That Provided Abortions Before “Roe”
ID-781	TheBlaze	negative	Meghan McCain rips co-host for spreading Julian Assange ‘propaganda’ on ‘The View’: ‘I hope he rots in hell!’
ID-782	Vice	neutral	Men Told Us How Bottoming Affects Their Eating Habits
ID-783	Breitbart	neutral	"""Mexican Police Commander Kidnapped"
ID-784	dailywire	negative	"""Michael Avenatti Arrested"
ID-785	dailywire	negative	"""Military Vehicle Rams Into Crowd Of Protesters In Socialist Venezuela"
ID-786	InfoWars	positive	Ministry Of Truth: EU Takes A Bashing Over Orwellian 1984 Tweet
ID-787	NewsBusters	negative	Morning Joe Tosses Softballs to Dem Demanding DeVos Resign
ID-788	Marketwatch	positive	Most-active gold futures end the month about 2% higher
ID-789	RollCall	negative	N.C. crowd chants ‘Send her back’ as Trump criticizes Omar and House ‘squad’
ID-790	ABC	positive	NATO chief plays down divisions as allies mark anniversary
ID-791	HuffPost	neutral	Netanyahu Hours Away From Deadline For Forming Coalition Government
ID-792	Intercept	neutral	Netanyahu Set for Victory as Israelis Vote for Never-Ending Military Rule of Palestinians
ID-793	Alternet	negative	New polling of 2020 Democrats head-to-head with Trump in a key swing state reveals his electoral weakness
ID-794	dailywire	neutral	"""Nikki Haley"
ID-795	HuffPost	neutral	North Korean Official Reportedly Purged Seen Back In Public Alongside Kim Jong Un
ID-796	Truthout	neutral	"""Nurses Tell Big Pharma"
ID-797	FreeBacon	neutral	Obama’s Pro-Iran Echo Chamber Finds New Ally in Rand Paul
ID-798	HotAir	neutral	Obama’s campaign manager: Bernie Sanders could be the Democratic nominee but won’t beat Trump
ID-799	TheAdvocate	negative	Our Views: Don't shroud Louisiana's death penalty drug providers in secrecy
ID-800	FreeBacon	positive	O’Rourke Dodges On Whether Pro-Lifers Are Welcomed in the Dem Party
ID-801	NPR	negative	Palestinian Artists Call For Eurovision Boycott; Israel Responds With PR Campaign
ID-802	WT	negative	Palestinian forces arrest participant in US Mideast workshop
ID-803	dailywire	neutral	"""Pelosi"
ID-804	LATimes	neutral	People cried when Yosemite restored historic names like the Ahwahnee. Here's why
ID-805	Intercept	negative	Philosopher Srecko Horvat on the Yugoslav Fight Against Fascism and the Rising Right-Wing Political Forces in Europe
ID-806	ABC	negative	Polish opposition rallies to condemn attack on LGBT march
ID-807	TheHill	positive	Poll: Immigration overtakes health care as top issue for voters
ID-808	WT	neutral	Pompeo warns Europe: China 'spreading authoritarian vision' worldwide
ID-809	Slate	negative	Portland and Denver’s Four-Overtime Game Revealed the Six Stages of Exhaustion
ID-810	TheWeek	neutral	"""Premier League transfer news: Bernardo"
ID-811	Slate	positive	President Sticking Firmly to Position That It’s Not Racist to Tell Nonwhite Americans to Go Back to Where They Came From
ID-812	TheBlaze	positive	President Trump scraps latest sanctions against North Korea because he 'likes' Kim Jong Un
ID-813	InfoWars	neutral	Proof: YouTube Corrects Alex Jones Results After Infowars Calls Out Gamed Algorithm
ID-814	TheAtlantic	negative	Quentin Tarantino’s Ultimate Statement on Movie Violence
ID-815	FoxNews	positive	R. Kelly protegee says she's ready to testify against him again as new alleged underage sex tape surfaces
ID-816	TheBlaze	negative	"""Rep. Clyburn disappointed by Kamala Harris"
ID-817	democracynow	positive	"""Rep. Ro Khanna on WH Security Clearances"
ID-818	Intercept	negative	Revenge of the Machine: New York Party Bosses Rally to Melinda Katz in Pivotal Prosecutor Race
ID-819	WT	negative	"""Revulsion in Northern Ireland over riot"
ID-820	LATimes	neutral	"""Riverside student hacks into school computers and changes grades"
ID-821	PoliticoPulse	negative	Sanders to Ryan on Medicare for All: 'I wrote the damn bill'
ID-822	NYP	negative	Saoirse Kennedy Hill was victim of 2007 abduction attempt: report
ID-823	TheWeek	negative	Scottish fans and media blast team after horror show in Kazakhstan
ID-824	ThinkProgress	neutral	Sean Hannity melts down over report that Russian state-run media uses his segments
ID-825	ForeignPolicy	neutral	Security Brief: Boeing 737 Safety Systems Under Scrutiny; Terror in Christchurch
ID-826	NPR	neutral	Senate Passes 2-Year Budget Deal And Sends It To Trump
ID-827	TheHill	neutral	"""Senate passes $4.5 billion border bill"
ID-828	NationalReview	neutral	Seven House Republicans Join Democrats in Voting to Amnesty 2.1 Million Non-Citizens
ID-829	Vox	negative	Some Amazon warehouse workers in Chicago say the company cheated them of overtime hours
ID-830	Twitchy	neutral	Spoiler: She’s CLUELESS! AOC’s attempt to push universal health care gets REKT by Conservative woman in just 2 tweets
ID-831	TheWeek	neutral	"""Spurs are home: Tottenham’s new era starts at £1bn stadium - reactions"
ID-832	NationalReview	negative	Stacey Abrams Equates Abortion Restrictions with ‘Forced Pregnancy’
ID-833	democracynow	negative	Stephen Miller's Uncle: Trump's Anti-Immigrant Comments Demonize Asylum Seekers & Stir Racist Hatred
ID-834	BBC	negative	Steve Bannon: 'Trump's border crackdown is anti-racist'
ID-835	NYP	neutral	TSA finds missile launcher in passenger’s checked bag
ID-836	BuzzFeed	negative	Tariffs Hit Steel and Aluminum Over a Year Ago and They Haven't Boosted Consumer Prices
ID-837	ForeignPolicy	neutral	Tear Down the Foreign-Policy Glass Ceiling!
ID-838	Time	positive	The 25 Most Influential People on the Internet
ID-839	TheAmericanConservative	negative	The Blob Lashes Out At Critics of Endless War
ID-840	TheWeek	positive	"""The Decathlon: F1 rivals Hamilton and Bottas have mutual respect"
ID-841	TheNewYorker	negative	The Devil Critiques Expressions That Mention Him
ID-842	TheAtlantic	negative	The Horrors of ICE’s ‘Trans Pod’
ID-843	TheAmericanConservative	neutral	The Intellectual Assault On Our National Identity
ID-844	TNR	negative	The Judge and the Three-Strikes Convict
ID-845	dailycaller	neutral	"""The Notre Dame Of Cyprus"
ID-846	BussinesInsider	negative	The SEC revealed the punishment it wants Elon Musk to face if he violates the terms of their settlement in the future (TSLA)
ID-847	ForeignPolicy	positive	The Senate is Hollowing Out the United States’ Diplomatic Corps
ID-848	Jacobin	neutral	The Welfare State They Were In
ID-849	Alternet	negative	The disturbing reason Republicans deny science and embrace measles epidemic
ID-850	PalmerReport	neutral	The real reason Donald Trump’s Iran narrative is falling to pieces
ID-851	HuffPost	negative	Theresa May Tells MPs She Will Resign As PM After Brexit
ID-852	Time	negative	This Is the Trump 2020 Video That Got Removed for Using the Wrong Superhero Movie Score
ID-853	Alternet	negative	This Republican lawmaker actually just called out Trump’s racism
ID-854	LATimes	positive	This tea party charity sends care packages to troops. California says it misspent funds
ID-855	Slate	negative	Trump Appears Headed for Defeat in Effort to Block Congress From Subpoenaing Financial Records
ID-856	InfoWars	neutral	Trump Calls Squad ‘Nightmare for America’
ID-857	RealClearPolitics	negative	Trump Is in an Abusive Relationship With America
ID-858	TPM	neutral	Trump Rails Against Potential Mueller Hearing: 'Bob Mueller Should Not Testify'
ID-859	dailycaller	neutral	Trump Signs Executive Order Placing ‘Hard-Hitting’ Sanctions On Iran
ID-860	dailycaller	negative	"""Trump Slaps Back ‘Fake’ Reports"
ID-861	RollCall	negative	Trump repeats warnings and imposes new sanctions on Iran amid tension
ID-862	TheHill	neutral	"""Trump sues lawmakers"
ID-863	dailykos	neutral	Trump yet again lies about his family separation policy but gets fact-checked to his face
ID-864	dailykos	negative	"""Trump's racist attacks are catnip to the Republican base"
ID-865	NYP	neutral	Trump: ‘Sleepy Joe’ Biden will ‘limp’ out of Democratic field to face me
ID-866	Reason	positive	Trump—Who Once Said Jeffrey Epstein 'Likes Beautiful Women as Much as I Do'—Moves to Distance Himself From the Disgraced Palm Beach Billionaire
ID-867	RollCall	neutral	Trump’s 2020 re-election rally signals 2016 strategy may be used again
ID-868	TheAtlantic	negative	Trump’s Border Obsession Is Courting Disaster
ID-869	ThinkProgress	positive	Trump’s Justice Department lawyers may soon pay a high price for lying to the courts
ID-870	ProPublica	negative	Trump’s VA Firing Spree Falters in Court
ID-871	WP	neutral	Trump’s interest in stirring Ukraine investigations sows confusion in Kiev
ID-872	FT	neutral	Twitter removes thousands of accounts linked to Iran
ID-873	OAN	positive	U.S. Rep. Ocasio-Cortez ‘encouraged’ despite Senate rejecting ‘Green New Deal’
ID-874	dailycaller	negative	UK Foreign Secretary Lambastes World Governments For Being ‘Asleep On The Watch’ Against Anti-Christian Persecution
ID-875	FT	neutral	US government is forcing Chinese owners to sell Grindr
ID-876	WT	positive	US resident freed by Iran to Trump: 'Get back your hostages'
ID-877	TNR	negative	Uber Drivers Strike Before Owners’ Big Payday
ID-878	ProPublica	negative	"""University of Illinois at Chicago Missed Warning Signs of Research Going Awry"
ID-879	TheAmericanConservative	neutral	Unqualified UN Ambassador is the Perfect Weak Link
ID-880	NYP	negative	Venezuela crisis is forcing people to destroy national park just to bathe
ID-881	Slate	positive	Venezuelan President Nicolás Maduro’s Enemies Took Their Best Shot. They Missed.
ID-882	TheGuardian	neutral	"""Victor d’Hondt"
ID-883	LATimes	negative	"""Video shows serial robber who has hit 11 businesses in L.A. area"
ID-884	TheGatewayPundit	positive	WOW! Trump Hauls In Whopping $25 Million on Launch Day For Re-Election Campaign
ID-885	FreeBacon	neutral	Warren’s Manufacturing Plan Echoes Trump’s ‘America First’
ID-886	Vice	neutral	"""Werner Herzog's New Film Is About an Old"
ID-887	dailysignal	neutral	What 4 People Who Have Been Affected by Abortion Industry Want Planned Parenthood to Know
ID-888	Economist	neutral	What Caster Semenya’s case means for women’s sport
ID-889	Vice	neutral	What Happens When Your Girlfriend Finds Out You're into Trans Women
ID-890	TheNewYorker	neutral	What Joe Biden Hasn’t Owned up to About Anita Hill
ID-891	dailysignal	neutral	"""When the Chips Are Down"
ID-892	NPR	negative	White House Condemns Day-Long Taliban Attack That Killed At Least 6
ID-893	WP	negative	White House effort to stop visa overstays targets nations with few offenders
ID-894	NYP	negative	Widow questions husband’s death in Dominican Republic after tourists die
ID-895	Jacobin	positive	Winning Socialism Is About Winning Freedom
ID-896	BussinesInsider	neutral	Wirecard spikes on report SoftBank is considering an investment
ID-897	HuffPost	negative	World Cup Fans Chant 'F**k Trump' During Fox News Live Shot
ID-898	Twitchy	neutral	YEP: ABC’s Terry Moran only needed two words to sum up today’s hearings and gigantic fail by Democrats
ID-899	ProPublica	negative	You Can’t Tax the Rich Without the IRS
ID-900	Vice	neutral	"""Young Australians Talk Climate Change"
ID-901	BussinesInsider	positive	[non-NRSRO] SoftBank Corp. A mobile telephone terminal Credit Trust Series 2019-3 -- Moody's assigns definitive rating to SB's handset receivables ABS
ID-902	dailysignal	negative	‘Fixing’ Our Democracy Would Only Make Matters Worse.
ID-903	NYT	negative	‘It Could Have Been Any of Us’: Disdain for Trump Runs Among Ambassadors
ID-904	democracynow	neutral	"""Navy SEALs Tried for Months to Report Superior for War Crimes and Were Told to """"Let It Go"""""""
ID-905	Vice	neutral	#KuToo Is The Japanese Movement Against Wearing High Heels
ID-906	NBC	neutral	'Democracy Dollars': Gillibrand's plan to give every voter $600 to donate to campaigns
ID-907	TheHill	neutral	"""'Holocaust' trends on Twitter after Ocasio-Cortez"
ID-908	Vice	neutral	'I Think You Should Leave' Is Like Weird Twitter as a TV Show
ID-909	WT	negative	2 IS-linked Philippine militants arrested far from south
ID-910	dailywire	neutral	"""22nd Democrat Presidential Candidate Announces"
ID-911	fiscaltimes	neutral	6 Crucial Facts You Need to Know About US Spending
ID-912	Slate	neutral	A Democrat on the Judiciary Committee Said “Impeachment”
ID-913	Quartz	negative	A brief history of women’s fight to wear pants
ID-914	FreeBacon	neutral	AFL-CIO President Opposes Green New Deal
ID-915	FoxNews	neutral	"""AG Barr not legally required to release full Mueller report"
ID-916	HotAir	negative	"""AOC: Our side doesn’t name-call like those xenophobic"
ID-917	FT	neutral	AbbVie to acquire Botox maker Allergan for $63bn
ID-918	NationalReview	negative	Abolishing the Electoral College Would Be a Mistake
ID-919	dailysignal	neutral	Abortion Debate Shows How Media Deploys Language Gymnastics to Serve Left-Wing Goals
ID-920	NBC	negative	Acting Defense chief Shanahan vows U.S. will no longer 'tiptoe' around China
ID-921	TheFederalist	neutral	"""After 18 Years"
ID-922	TheFederalist	negative	Airbnb’s Anti-West Bank Policy Shows Why Laws Against BDS Matter
ID-923	dailycaller	negative	"""Airline Goes Bankrupt"
ID-924	ProPublica	negative	Alabama Senator to the IRS: Stop Picking on the South
ID-925	TheWeek	negative	All-female spacewalk cancelled over spacesuit sizes
ID-926	FT	neutral	Amlo makes economic mis-steps as Bolsonaro delivers reforms
ID-927	dailykos	neutral	Amy McGrath raises mammoth $2.5 million in first 24 hours of campaign against McConnell
ID-928	WT	neutral	"""Angela Merkel responds to being labeled Trump's 'punching bag'; He 'has his opinions"
ID-929	dailykos	negative	Another judge blocks Trump admin from ending protections for Haitian immigrants
ID-930	dailymail	negative	Anti-trump activists leave behind a mountain of litter after listening to ranting Corbyn blast Trump
ID-931	dailysignal	negative	"""As Iran Inches Closer to Nuclear Weapon"
ID-932	Time	positive	Ashton Kutcher and Mila Kunis Silence Divorce Rumors With a Very Comedic Take
ID-933	Marketwatch	neutral	"""Authentic Brands in talks with Meredith to buy Sports Illustrated"
ID-934	HotAir	neutral	"""Beltway"
ID-935	dailykos	positive	Bernie Sanders wins latest Daily Kos Straw Poll in what has become a five-candidate race
ID-936	Vox	positive	Bernie Sanders’s reparations comments cause rift over DSA endorsement
ID-937	Twitchy	neutral	Beto O’Rourke addressing how much wealth might be TOO much could make the next family gathering ‘a little awkward’
ID-938	Twitchy	neutral	"""Beto O’Rourke wouldn’t get rid of just the existing border wall"
ID-939	dailybeast	negative	Beto O’Rourke: Trump’s an ‘Avowed Racist’ Who’s ‘Giving People Permission to Do’ Mass Shootings
ID-940	WT	negative	Bomb-carrying drone from Yemen rebels targets Saudi airport
ID-941	Vox	positive	Brazil’s Supreme Court pushed back against an attempt to cancel participatory councils
ID-942	Time	neutral	British Royals Meghan and Prince Harry’s Instagram Account Has Broken a Record
ID-943	Breitbart	neutral	Brzezinski Goes After Biden Accusers -- 'Don't Inject It Into a Presidential Campaign'
ID-944	TheHill	positive	Buttigieg Fox News town hall attracts 1.1 million viewers
ID-945	dailywire	negative	CURL: Biden Shamelessly Begged Me For Money All. Day. Long.
ID-946	NationalReview	neutral	"""Candidates of a certain age"
ID-947	InfoWars	negative	Charles Barkley: “Every Black Person I Know Has Always Voted Democratic” & They’re “Still Poor”
ID-948	MotherJones	positive	Chart of the Day: Q1 Growth Is Looking Pretty Anemic
ID-949	NewsBusters	negative	Chris Hayes Fails to Correct Dem Senator's Claims About Iran
ID-950	WT	neutral	City in New Mexico authorizes spending on asylum seekers
ID-951	TPM	neutral	Clapper Believes Barr Used The Term ‘Spying’ During Hearing ‘Deliberately’
ID-952	Vox	negative	Coachella 2019 fire: What we know
ID-953	Vice	negative	Colombia Failed These Coca Farmers. Now They're Turning Back To The Cartels
ID-954	TheGatewayPundit	negative	Confirmed: Study Finds 92% of Left-Wing Loser Activists Live at Home with Mommy and Daddy
ID-955	TPM	neutral	Conway Takes Aim At Biden's New Candidacy: 'He's The Frontrunner!'
ID-956	dailywire	neutral	DC Comics Sends Cease And Desist Over Alexandria Ocasio-Cortez Comic Book Cover
ID-957	TPM	negative	Daily Caller Confuses Andrew Gillum With Black CNN Commentator Bakari Sellers
ID-958	dailykos	neutral	Daily Kos Democratic Straw Poll: May 14 edition
ID-959	Vice	negative	Darwin’s Finches Are In Danger Because a Parasite Is Changing Their Mating Song
ID-960	TheAtlantic	positive	Dear Parents: The Internet Never Forgets
ID-961	MotherJones	neutral	Deepfakes Could Finally Bring Accountability to Big Tech Companies
ID-962	NationalReview	negative	Dem. Rep. Slams Chase Bank Tweet that Discouraged Wasteful Spending
ID-963	TheBlaze	positive	Democratic presidential candidate says his party has to 'draw a clear line': 'We are not socialists'
ID-964	RealClearPolitics	neutral	Dems Blowing Chance to Beat Trump With Left-Wing Extremism
ID-965	LATimes	negative	Deputies raid rapper YG's Hollywood home in connection with fatal shootout
ID-966	MotherJones	positive	Devin Nunes’ 2020 Reelection Bid May Have Just Gotten a Lot Easier
ID-967	InfoWars	negative	Dick’s CEO a Member of Michael Bloomberg’s Gun Control Group
ID-968	TheHill	negative	Director Ava DuVernay: Trump contributed to 'environment' around 1994 crime bill
ID-969	WP	negative	Disaster aid stalls again after another House Republican objects
ID-970	BussinesInsider	neutral	"""Discover Provence and the French Riviera with Odysseys Unlimited: New 12-day Small Group Tour Debuts April 6"
ID-971	FoxNews	neutral	Disneyland's new Flex Pass comes with a catch
ID-972	PalmerReport	negative	Donald Trump comes crashing down from his “total exoneration” high
ID-973	PalmerReport	neutral	Donald Trump’s orbit is spinning completely out of control today
ID-974	PalmerReport	negative	Donald Trump’s worsening obstruction of justice antics won’t end well for him
ID-975	ThinkProgress	positive	Donald Trump’s ‘party of health care’ has spent a decade failing to repeal and replace Obamacare
ID-976	NationalReview	neutral	Don’t Compare the Situation on the Border to the Holocaust
ID-977	WT	negative	"""Dutch police arrest Syrian suspected of war crimes"
ID-978	democracynow	negative	EPA Refuses to Ban Dangerous Pesticide Chlorpyrifos Linked to Brain Damage in Children
ID-979	RealClearPolitics	negative	Economists' Flawed Attacks on Steve Moore
ID-980	dailycaller	negative	Egypt’s Ousted President Mohammed Morsi Dies After Courtroom Collapse
ID-981	ForeignPolicy	neutral	Egypt’s Prisons Are Becoming Recruiting Grounds for the Islamic State
ID-982	MotherJones	positive	Elizabeth Warren Just Unveiled a Plan to Close the Racial Wealth Gap
ID-983	Vice	neutral	Enough with the Batman Movies Already
ID-984	ABC	neutral	"""Ethiopia"
ID-985	NBC	neutral	Europe broils in record heat as U.K. has hottest July day ever
ID-986	WP	neutral	"""Fed is prepared to act to save U.S. economy from trade war"
